,wikidata,type,osmid
1313,Q17520740,,
1314,Q17520173,,
1315,Q17520429,,
1317,Q17519953,,
1318,Q17520477,,
1319,Q17520716,,
1320,Q17520439,,
1321,Q17520625,,
1322,Q17522562,,
1324,Q17520443,,
1325,Q17520694,,
1326,Q17522555,,
1327,Q17520713,,
1329,Q17522547,,
1330,Q17519991,,
1331,Q17522418,,
1332,Q17520527,,
1334,Q17522467,,
1335,Q17520078,,
1336,Q17522530,,
1337,Q17522495,,
1338,Q17522518,,
1339,Q17520361,,
1340,Q17522411,,
1341,Q17522431,,
1342,Q17522532,,
1343,Q17522437,,
1344,Q17520602,,
1346,Q17522468,,
1352,Q17522563,,
1354,Q17520493,,
1355,Q17522557,,
1356,Q17520357,,
1357,Q17520218,,
1358,Q17520591,,
1359,Q17522457,,
1361,Q17522410,,
1362,Q17520298,,
1363,Q17520183,,
1364,Q17520191,,
1366,Q17520647,,
1367,Q17520501,,
1370,Q17522549,,
1371,Q17520623,,
1373,Q17522430,,
1374,Q17520170,,
1375,Q17520395,,
1377,Q17520738,,
1378,Q17522466,,
1379,Q17520399,,
1381,Q17520664,,
1382,Q17520430,,
1383,Q17522448,,
1384,Q17520121,,
1386,Q17520720,,
1387,Q17520611,,
1388,Q17522546,,
1389,Q17520528,,
1391,Q17520653,,
1392,Q17522540,,
1394,Q17520668,,
1395,Q17520067,,
1396,Q17520256,,
1398,Q17525220,,
1407,Q17525241,,
1408,Q17523111,,
1417,Q17525341,,
1419,Q17525171,,
1424,Q17522770,,
1425,Q17522578,,
1426,Q17525143,,
1429,Q17525191,,
1430,Q17525230,,
1432,Q17525201,,
1437,Q17525332,,
1443,Q17525188,,
1447,Q17525310,,
1448,Q17525169,,
1462,Q17525206,,
1468,Q17525202,,
1469,Q17523118,,
1472,Q17525329,,
1475,Q17523212,,
1476,Q17525311,,
1483,Q17522964,,
1485,Q17523291,,
1489,Q17525237,,
1490,Q17525225,,
1493,Q17522971,,
1498,Q17558774,,
1499,Q17538458,,
1500,Q17558437,,
1501,Q17525426,,
1502,Q17543443,,
1503,Q17558709,,
1504,Q17546053,,
1505,Q17558433,,
1506,Q17558829,,
1508,Q17558883,,
1509,Q17558443,,
1510,Q17545812,,
1513,Q17558892,,
1515,Q17558390,,
1516,Q17538647,,
1518,Q17525409,,
1521,Q17538524,,
1522,Q17558696,,
1523,Q17558799,,
1524,Q17558438,,
1525,Q17558779,,
1526,Q17538674,,
1528,Q17558968,,
1530,Q17558534,,
1531,Q17543554,,
1532,Q17558638,,
1533,Q17538634,,
1534,Q17546065,,
1539,Q17543183,,
1540,Q17525401,,
1543,Q17543431,,
1544,Q17538588,,
1546,Q17558465,,
1548,Q17558860,,
1549,Q17558749,,
1550,Q17543492,,
1551,Q17543477,,
1552,Q17545902,,
1553,Q17538525,,
1554,Q17543082,,
1556,Q17558380,,
1557,Q17545782,,
1559,Q17558825,,
1560,Q17558970,,
1562,Q17525370,,
1563,Q17558393,,
1564,Q17543514,,
1571,Q17558858,,
1572,Q17558852,,
1573,Q17558612,,
1575,Q17558447,,
1581,Q17538576,,
1583,Q17558932,,
1585,Q17545731,,
1586,Q17558830,,
1588,Q17558421,,
1590,Q17543150,,
1592,Q17525427,,
1598,Q17559152,,
1599,Q17559638,,
1600,Q17559845,,
1602,Q17559035,,
1606,Q17559161,,
1608,Q17560005,,
1612,Q17559024,,
1614,Q17560042,,
1615,Q17558988,,
1616,Q17559663,,
1617,Q17559808,,
1619,Q17559999,,
1622,Q17559751,,
1624,Q17559026,,
1625,Q17559473,,
1627,Q17559929,,
1628,Q17560071,,
1629,Q17559891,,
1630,Q17559934,,
1632,Q17559632,,
1633,Q17559020,,
1634,Q17559943,,
1635,Q17560061,,
1636,Q17559440,,
1637,Q17559699,,
1639,Q17559941,,
1640,Q17559016,,
1641,Q17559224,,
1642,Q17559847,,
1644,Q17559974,,
1646,Q17559756,,
1647,Q17560074,,
1648,Q17560044,,
1650,Q17559733,,
1651,Q17559978,,
1652,Q17559404,,
1654,Q17559654,,
1655,Q17559620,,
1658,Q17559876,,
1659,Q17559778,,
1660,Q17559150,,
1661,Q17559765,,
1662,Q17559377,,
1663,Q17559096,,
1664,Q17559062,,
1665,Q17560062,,
1666,Q17559949,,
1667,Q17559129,,
1668,Q17559111,,
1673,Q17560069,,
1674,Q17559271,,
1676,Q17559131,,
1678,Q17559422,,
1681,Q17559851,,
1682,Q17559543,,
1683,Q17559201,,
1684,Q17559144,,
1685,Q17559710,,
1688,Q17559463,,
1689,Q17559871,,
1691,Q17559650,,
1692,Q17559752,,
1694,Q17559804,,
1696,Q17559824,,
1697,Q17577151,,
1698,Q17577126,,
1703,Q17577085,,
1705,Q17576826,,
1707,Q17577248,,
1708,Q17560125,,
1709,Q17578197,,
1710,Q17576957,,
1711,Q17560309,,
1712,Q17577106,,
1713,Q17578358,,
1716,Q17560352,,
1717,Q17578247,,
1719,Q17576946,,
1721,Q17578253,,
1723,Q17560152,,
1725,Q17560357,,
1726,Q17577250,,
1727,Q17576822,,
1729,Q17576975,,
1730,Q17560281,,
1734,Q17577260,,
1737,Q17577101,,
1739,Q17576807,,
1740,Q17560127,,
1744,Q17560150,,
1745,Q17576970,,
1746,Q17577129,,
1747,Q17560403,,
1748,Q17560140,,
1749,Q17577200,,
1750,Q17576952,,
1753,Q17576730,,
1754,Q17560278,,
1755,Q17576939,,
1757,Q17577168,,
1759,Q17577196,,
1760,Q17560305,,
1761,Q17576704,,
1762,Q17578258,,
1763,Q17560311,,
1764,Q17560326,,
1765,Q17560389,,
1769,Q17576955,,
1770,Q17577075,,
1776,Q17576696,,
1777,Q17578280,,
1779,Q17576990,,
1781,Q17577269,,
1783,Q17578119,,
1785,Q17576894,,
1787,Q17578122,,
1789,Q17577124,,
1791,Q17576874,,
1792,Q17576852,,
1793,Q17578188,,
1796,Q17577157,,
1797,Q17578377,,
1798,Q17587338,,
1799,Q17578608,,
1802,Q17578815,,
1803,Q17587413,,
1805,Q17587304,,
1808,Q17587366,,
1809,Q17578593,,
1810,Q17587481,,
1811,Q17578805,,
1812,Q17586878,,
1813,Q17586766,,
1814,Q17578813,,
1815,Q17578685,,
1816,Q17578478,,
1817,Q17587106,,
1818,Q17587147,,
1819,Q17587159,,
1821,Q17578892,,
1822,Q17578811,,
1826,Q17587235,,
1827,Q17578585,,
1829,Q17578497,,
1830,Q17587336,,
1832,Q17578841,,
1833,Q17587061,,
1835,Q17586762,,
1836,Q17578638,,
1837,Q17586911,,
1838,Q17586990,,
1840,Q17587566,,
1841,Q17578548,,
1842,Q17587525,,
1844,Q17578680,,
1845,Q17587379,,
1846,Q17578731,,
1847,Q17586978,,
1849,Q17578839,,
1850,Q17578883,,
1851,Q17586792,,
1852,Q17587577,,
1853,Q17578616,,
1854,Q17578550,,
1855,Q17587145,,
1857,Q17578640,,
1858,Q17578821,,
1860,Q17578566,,
1863,Q17587552,,
1864,Q17578403,,
1866,Q17587574,,
1867,Q17578872,,
1868,Q17578835,,
1871,Q17587510,,
1874,Q17578894,,
1876,Q17578885,,
1877,Q17578398,,
1878,Q17578588,,
1881,Q17578853,,
1882,Q17578576,,
1883,Q17589409,,
1886,Q17587565,,
1887,Q17578604,,
1888,Q17586928,,
1889,Q17578500,,
1890,Q17587544,,
1893,Q17587475,,
1894,Q17587060,,
1896,Q17587549,,
1897,Q17589869,,
1898,Q17589507,,
1901,Q17589847,,
1902,Q17589471,,
1904,Q17589900,,
1906,Q17589594,,
1907,Q17589948,,
1908,Q17589527,,
1909,Q17590074,,
1911,Q17589997,,
1913,Q17589921,,
1915,Q17589984,,
1918,Q17589424,,
1919,Q17589555,,
1920,Q17589977,,
1921,Q17589848,,
1922,Q17589876,,
1924,Q17589564,,
1925,Q17589843,,
1927,Q17590062,,
1931,Q17608531,,
1932,Q17589452,,
1933,Q17608471,,
1935,Q17589969,,
1937,Q17589631,,
1939,Q17590040,,
1941,Q17589677,,
1943,Q17589895,,
1947,Q17589587,,
1948,Q17589862,,
1950,Q17590100,,
1951,Q17589540,,
1952,Q17589636,,
1953,Q17589770,,
1957,Q17589998,,
1959,Q17589932,,
1963,Q17605924,,
1964,Q17589785,,
1965,Q17589904,,
1966,Q17608500,,
1967,Q17589927,,
1968,Q17589852,,
1969,Q17605930,,
1970,Q17590039,,
1971,Q17605877,,
1972,Q17589600,,
1974,Q17605936,,
1978,Q17589483,,
1979,Q17590082,,
1983,Q17608310,,
1989,Q17605907,,
1992,Q17589923,,
1994,Q17589575,,
1996,Q17589498,,
1999,Q17644641,,
2001,Q17634230,,
2004,Q17644558,,
2007,Q17638462,,
2009,Q17638517,,
2012,Q17638536,,
2013,Q17638476,,
2017,Q17644613,,
2019,Q17618578,,
2023,Q17638499,,
2030,Q17644618,,
2032,Q17634168,,
2034,Q17638550,,
2037,Q17644604,,
2038,Q17644669,,
2041,Q17638569,,
2043,Q17644772,,
2045,Q17644643,,
2050,Q17644639,,
2056,Q17645019,,
2057,Q17638512,,
2058,Q17644645,,
2059,Q17638567,,
2060,Q17638601,,
2067,Q17638607,,
2071,Q17638540,,
2073,Q17644649,,
2074,Q17638470,,
2077,Q17644655,,
2078,Q17638609,,
