,wikidata,type,osmid
1298,Q6923382,,
1301,Q6946752,,
1307,Q7039426,,
1308,Q7056956,,
1309,Q7070780,,
1311,Q7088002,,
1312,Q7122532,,
1313,Q7125507,,
1314,Q7126070,,
1315,Q7128273,,
1316,Q7132428,,
1318,Q7165127,,
1319,Q7169057,,
1320,Q7186986,,
1322,Q7199405,,
1323,Q7199582,,
1324,Q7240807,,
1329,Q7278545,,
1331,Q7279655,,
1332,Q7305242,,
1333,Q7305718,,
1334,Q7305717,,
1335,Q7307513,,
1336,Q7307539,,
1339,Q7395832,,
1341,Q7402309,,
1343,Q7418115,,
1344,Q7425687,,
1345,Q52801708,,
1346,Q52801854,,
1347,Q52802360,,
1348,Q52802728,,
1349,Q52802751,,
1350,Q52802974,,
1351,Q52803046,,
1352,Q52803454,,
1353,Q52803618,,
1354,Q52803986,,
1355,Q52804512,,
1356,Q52805253,,
1357,Q83259,,
1359,Q195081,,
1360,Q273466,,
1368,Q5265898,,
1369,Q5321770,,
1370,Q5415751,,
1372,Q5507647,,
1373,Q5547708,,
1374,Q6064571,,
1376,Q6392380,,
1378,Q6721963,,
1380,Q6781480,,
1382,Q6906328,,
1383,Q6984778,,
1384,Q7017860,,
1385,Q7054584,,
1386,Q7055040,,
1388,Q7082300,,
1390,Q7268475,,
1393,Q7292909,,
1394,Q7310042,,
1398,Q7369684,,
1399,Q7373000,,
1400,Q7373693,,
1401,Q7374735,,
1403,Q7387852,,
1404,Q7396835,,
1405,Q7401407,,
1406,Q7401684,,
1407,Q7408488,,
1408,Q7414560,,
1409,Q7432510,,
1410,Q7432509,,
1412,Q7438756,,
1413,Q7461545,,
1414,Q7461563,,
1415,Q7487132,,
1417,Q7494644,,
1418,Q7495144,,
1419,Q7496206,,
1421,Q7523288,,
1423,Q7528929,,
1425,Q7566982,,
1426,Q7570024,,
1428,Q7590045,,
1432,Q7619527,,
1433,Q7624175,,
1435,Q7653715,,
1436,Q7660565,,
1437,Q7676384,,
1439,Q7707460,,
1441,Q7707954,,
1442,Q7720237,,
1446,Q7751849,,
1447,Q7754772,,
1449,Q7829354,,
1451,Q7863741,,
1454,Q7864185,,
1456,Q7876150,,
1457,Q7895005,,
1458,Q7895038,,
1459,Q7895059,,
1460,Q7895169,,
1461,Q7895179,,
1463,Q7895233,,
1464,Q7895238,,
1465,Q7895287,,
1466,Q7895291,,
1468,Q7895488,,
1469,Q7895582,,
1470,Q7895597,,
1471,Q7895648,,
1472,Q7895715,,
1473,Q7895723,,
1474,Q7895731,,
1475,Q7895826,,
1476,Q7895870,,
1477,Q7895888,,
1478,Q7895903,,
1479,Q7895918,,
1480,Q7895956,,
1484,Q7896012,,
1485,Q7896035,,
1488,Q7896062,,
1489,Q7896126,,
1490,Q7896139,,
1491,Q7896217,,
1492,Q7896275,,
1494,Q7896435,,
1498,Q7896510,,
1500,Q7896527,,
1501,Q7896584,,
1511,Q11393061,,
1512,Q11393081,,
1519,Q11440987,,
1521,Q11441135,,
1525,Q11453764,,
1526,Q11454439,,
1534,Q11484814,,
1536,Q11493653,,
1540,Q11494221,,
1541,Q11494312,,
1548,Q11585971,,
1549,Q11595505,,
1550,Q10159,,
1551,Q203439,,
1552,Q284880,,
1553,Q371797,,
1556,Q830851,,
1557,Q870669,,
1560,Q1028905,,
1564,Q1203165,,
1565,Q1203910,,
1566,Q1203919,,
1568,Q1203924,,
1569,Q1203930,,
1572,Q1203944,,
1573,Q1203951,,
1575,Q1203962,,
1576,Q1256192,,
1577,Q1316380,,
1578,Q1377503,,
1581,Q1566227,,
1584,Q1783807,,
1591,Q2453575,,
1593,Q2539308,,
1595,Q2604105,,
1598,Q2881254,,
1600,Q3061696,,
1603,Q3151824,,
1604,Q3269046,,
1610,Q3510784,,
1611,Q3551399,,
1613,Q3738249,,
1615,Q3881290,,
1616,Q3918260,,
1618,Q4050284,,
1619,Q4070567,,
1620,Q4081706,,
1621,Q4113251,,
1622,Q4118781,,
1623,Q4123680,,
1624,Q4130474,,
1625,Q4166344,,
1627,Q4217711,,
1628,Q52787211,,
1629,Q52789133,,
1630,Q52790134,,
1631,Q104176836,,
1632,Q104844767,,
1633,Q105446875,,
1634,Q105576501,,
1635,Q106486477,,
1636,Q107013933,,
1637,Q108214737,,
1638,Q108436856,,
1639,Q108838276,,
1640,Q109317921,,
1641,Q109325830,,
1642,Q109561766,,
1643,Q109590950,,
1644,Q112064551,,
1645,Q12408346,,
1646,Q12408348,,
1647,Q12408349,,
1648,Q12408354,,
1649,Q12408355,,
1650,Q12408352,,
1651,Q12408353,,
1652,Q12408358,,
1654,Q12408357,,
1655,Q12408362,,
1656,Q12408363,,
1657,Q12408361,,
1658,Q12408365,,
1659,Q14326107,,
1660,Q14705934,,
1661,Q14705933,,
1662,Q15223459,,
1663,Q15253521,,
1664,Q15697731,,
1665,Q16132567,,
1666,Q52754266,,
1667,Q52780657,,
1668,Q52780906,,
1669,Q52781461,,
1670,Q64348055,,
1671,Q64509391,,
1673,Q73173502,,
1674,Q75064438,,
1675,Q75234646,,
1676,Q83190972,,
1677,Q84600039,,
1678,Q85783071,,
1679,Q87719491,,
1680,Q87719527,,
1681,Q87738382,,
1682,Q87738983,,
1683,Q91474399,,
1684,Q91475143,,
1685,Q91476246,,
1686,Q91478267,,
1687,Q96247065,,
1688,Q97219533,,
1689,Q97252679,,
1690,Q97577578,,
1691,Q99343484,,
1692,Q99689415,,
1693,Q103734489,,
1697,Q105083838,,
1701,Q106135645,,
1702,Q106223671,,
1703,Q106367964,,
1705,Q449019,,
1706,Q481762,,
1708,Q678583,,
1709,Q680971,,
1710,Q781404,,
1713,Q877188,,
1715,Q931716,,
1716,Q936354,,
1722,Q1183724,,
1723,Q1367284,,
1727,Q1414348,,
1729,Q1540876,,
1731,Q1572917,,
1732,Q1583249,,
1733,Q1667163,,
1735,Q3152238,,
1737,Q3348711,,
1741,Q4453142,,
1742,Q4551657,,
1744,Q4806551,,
1745,Q4813030,,
1746,Q5044819,,
1748,Q5448967,,
1749,Q6377819,,
1750,Q6810727,,
1752,Q6968183,,
1753,Q7012970,,
1754,Q7036292,,
1755,Q7047833,,
1757,Q7058642,,
1758,Q7059131,,
1759,Q7059949,,
1760,Q7060037,,
1762,Q7064110,,
1764,Q7122739,,
1766,Q7278540,,
1767,Q7281774,,
1768,Q7408197,,
1769,Q7442097,,
1771,Q7639747,,
1772,Q7645256,,
1773,Q7659927,,
1774,Q7680261,,
1776,Q7711635,,
1777,Q7994078,,
1778,Q8052826,,
1779,Q8052827,,
1781,Q8052831,,
1782,Q8052834,,
1783,Q8052836,,
1784,Q8052840,,
1785,Q8052844,,
1786,Q8052852,,
1787,Q8052865,,
1789,Q8052879,,
1790,Q8052877,,
1791,Q8052886,,
1792,Q8052885,,
1793,Q8052889,,
1796,Q8052896,,
1797,Q8065086,,
1798,Q11664027,,
1799,Q11783554,,
1800,Q10279540,,
1802,Q10775943,,
1804,Q10924796,,
1806,Q11062018,,
1807,Q11144969,,
1808,Q11415247,,
1810,Q11791694,,
1811,Q11989213,,
1814,Q12583558,,
1819,Q12584142,,
1824,Q12585165,,
1827,Q12590977,,
1828,Q12591150,,
1832,Q12597628,,
1835,Q12600479,,
1836,Q12601194,,
1838,Q12601720,,
1847,Q12615067,,
1850,Q12616440,,
1852,Q12620050,,
1857,Q12623383,,
1862,Q16079816,,
1864,Q16092527,,
1865,Q16092727,,
1874,Q18507593,,
1875,Q19600103,,
1876,Q19891182,,
1877,Q20712659,,
1878,Q22997573,,
1879,Q26883293,,
1880,Q38250985,,
1881,Q48953711,,
1882,Q52805693,,
1883,Q52806627,,
1884,Q52806985,,
1886,Q52810179,,
1887,Q52810274,,
1888,Q59599473,,
1890,Q63102005,,
1891,Q77777639,,
1892,Q98856247,,
1896,Q200736,,
1897,Q405885,,
1898,Q447216,,
1900,Q579776,,
1902,Q625922,,
1903,Q637387,,
1905,Q1288137,,
1907,Q1649504,,
1909,Q2712322,,
1910,Q3064299,,
1911,Q3152389,,
1913,Q3461622,,
1914,Q4406401,,
1918,Q4802088,,
1919,Q4815997,,
1921,Q5393513,,
