,wikidata,type,osmid
5478,Q2786933,,
5481,Q2786937,,
5492,Q5376730,,
5504,Q5351106,,
5510,Q5401085,,
5516,Q5416936,,
5519,Q5378087,,
5530,Q5351691,,
5546,Q5385272,,
5548,Q5388287,,
5558,Q5370408,,
5562,Q5417203,,
5574,Q5367354,,
5577,Q5429130,,
5583,Q5368317,,
5585,Q4890853,,
5586,Q5035997,,
5589,Q5005071,,
5593,Q5036722,,
5594,Q4866712,,
5599,Q4869031,,
5602,Q5036722,,
5603,Q5004956,,
5606,Q5033452,,
5609,Q4946599,,
5610,Q4974270,,
5611,Q4863892,,
5612,Q4860751,,
5613,Q4985822,,
5615,Q4937795,,
5617,Q4974270,,
5620,Q4997071,,
5625,Q4985822,,
5626,Q4929215,,
5628,Q4985822,,
5629,Q4873104,,
5634,Q4942048,,
5635,Q4851609,,
5636,Q4998976,,
5637,Q4896170,,
5640,Q5026903,,
5642,Q4896170,,
5644,Q4883910,,
5645,Q4950804,,
5646,Q4946599,,
5649,Q4863892,,
5654,Q4949540,,
5658,Q4943365,,
5659,Q4896170,,
5660,Q4906393,,
5661,Q4876242,,
5664,Q4860951,,
5666,Q4950804,,
5667,Q4863804,,
5668,Q4866712,,
5670,Q4851609,,
5672,Q5023890,,
5674,Q5035997,,
5675,Q5035997,,
5676,Q4850614,,
5681,Q4852894,,
5684,Q3886222,,
5688,Q3886342,,
5690,Q3886424,,
5691,Q3886845,,
5693,Q3886126,,
5695,Q3886135,,
5697,Q3887129,,
5698,Q3886763,,
5702,Q3886758,,
5706,Q3886770,,
5707,Q3886427,,
5709,Q3886424,,
5715,Q3886510,,
5726,Q3886510,,
5727,Q3886222,,
5729,Q3886510,,
5734,Q3887129,,
5742,Q3886181,,
5743,Q3886392,,
5745,Q3886847,,
5756,Q3886132,,
5757,Q3886440,,
5775,Q3886375,,
5779,Q3886677,,
5781,Q3886763,,
5782,Q3885996,,
5790,Q2876082,,
5813,Q2876145,,
5829,Q2900695,,
5830,Q2876065,,
5838,Q2900746,,
5845,Q2900746,,
5850,Q2876065,,
5851,Q2900727,,
5853,Q2884441,,
5871,Q2876082,,
5873,Q7109136,,
5876,Q7103728,,
5877,Q7129815,,
5886,Q7131362,,
5890,Q7107120,,
5894,Q7115143,,
5895,Q7154432,,
5901,Q7103728,,
5904,Q7126083,,
5905,Q7138115,,
5907,Q7115143,,
5908,Q7109137,,
5910,Q7101341,,
5913,Q7110490,,
5921,Q7103728,,
5929,Q7126731,,
5931,Q7128392,,
5932,Q7116463,,
5933,Q7128049,,
5934,Q7108318,,
5941,Q7108228,,
5946,Q7126337,,
5949,Q7144700,,
5951,Q7101341,,
5952,Q7126731,,
5963,Q7129018,,
5968,Q7114635,,
5973,Q5171159,,
5974,Q5101271,,
5980,Q5242807,,
5985,Q5167396,,
5986,Q5138104,,
5987,Q5179324,,
5989,Q5099013,,
5991,Q5167396,,
5995,Q5210535,,
5997,Q5054051,,
5999,Q5140709,,
6000,Q5099013,,
6001,Q5063176,,
6002,Q5102314,,
6003,Q5153221,,
6008,Q5071434,,
6010,Q5059067,,
6014,Q5194217,,
6016,Q5179324,,
6020,Q5185706,,
6022,Q5138104,,
6024,Q5192555,,
6028,Q5247366,,
