,wikidata,type,osmid
1691,Q30158202,way,102881519
1692,Q30158439,way,529123943
1695,Q30158465,way,103039654
1696,Q30158226,relation,10626315
1698,Q30158318,way,42992232
1700,Q30158689,relation,9420883
1701,Q30158492,way,529123650
1702,Q30158671,way,42992463
1708,Q30158553,way,529123619
1710,Q30158677,way,103038421
1711,Q30158648,way,43190037
1713,Q30158615,relation,7435862
1715,Q30158587,way,42992440
1716,Q30158498,way,43302431
1717,Q30158734,way,659864064
1723,Q30158621,way,43302476
1724,Q30158601,way,43302550
1727,Q30158668,way,43002176
1735,Q30158698,way,529123631
1737,Q30158761,way,99537468
1738,Q30158680,way,42896434
1743,Q30158556,way,42992202
1750,Q30158560,way,42992346
1752,Q30158723,way,529348391
1755,Q30158649,way,1078404014
1756,Q30158714,way,43043480
1757,Q30158608,way,529731306
1760,Q30158703,relation,3298903
1761,Q30158653,way,529123613
1762,Q30158726,way,103038560
1766,Q30158511,way,43043504
1772,Q30158705,relation,10626041
1773,Q30158650,way,43002246
1779,Q30158539,relation,300404
1780,Q30158581,way,102881253
1781,Q30158519,way,43248151
1782,Q30158695,way,102881126
1783,Q30158737,way,529348434
1784,Q30158721,way,43043406
1786,Q30158727,way,103038237
1788,Q30158591,way,529348374
1789,Q30158704,relation,5990277
1790,Q30158582,way,42992446
1792,Q30158712,way,42896470
1795,Q30158596,way,529348190
1798,Q30158566,relation,10626050
1801,Q30159088,relation,9453771
1806,Q30159077,relation,9413870
1807,Q30159270,relation,3361640
1812,Q30159330,way,529123766
1813,Q30159101,way,491868994
1816,Q30159196,way,942888041
1819,Q30158820,way,102924626
1820,Q30158765,way,43302553
1821,Q30159247,way,42895541
1823,Q30159193,way,43002184
1824,Q30159285,way,529123934
1826,Q30159157,way,42992511
1830,Q30159472,way,529123807
1834,Q30159224,way,43302514
1836,Q30159458,relation,1463771
1837,Q30159112,relation,7467576
1838,Q30159388,relation,9749815
1839,Q30158771,relation,1463794
1840,Q30159259,way,638781353
1841,Q30159210,relation,7618889
1844,Q30159233,way,103038725
1847,Q30159126,way,103249546
1848,Q30159448,way,102881578
1850,Q30159065,relation,8632244
1854,Q30159092,way,43043570
1855,Q30159312,way,102864725
1857,Q30159116,way,361157834
1862,Q30159240,way,102925156
1865,Q30159200,way,102881653
1866,Q30159252,relation,10626042
1867,Q30159512,relation,9762045
1868,Q30159334,way,42992441
1869,Q30159085,way,43302542
1874,Q30159073,way,102924633
1875,Q30159185,way,43248164
1877,Q30159130,relation,12256498
1879,Q30159518,way,42896512
1884,Q30158788,way,103228588
1885,Q30159397,way,670000021
1890,Q30158836,way,43302545
1891,Q30159080,relation,10626313
1892,Q30159368,way,529731414
1893,Q30159148,relation,10248895
1897,Q30159484,way,103038689
1900,Q30159917,relation,305126
1901,Q30159891,relation,7618896
1902,Q30160109,relation,4467181
1906,Q30160094,way,529123743
1907,Q30159562,relation,10225724
1908,Q30159731,relation,1436184
1909,Q30159850,way,503444667
1914,Q30160399,way,529348344
1915,Q30159905,relation,1460570
1916,Q30159556,way,42992485
1917,Q30159948,way,529731323
1918,Q30159705,way,103039955
1923,Q30159630,way,103038410
1926,Q30160228,relation,2783569
1927,Q30160083,relation,1460085
1932,Q30160195,way,529123972
1933,Q30160220,way,1046748422
1934,Q30159994,relation,9769166
1936,Q30159659,way,42992162
