,wikidata,type,osmid
983,Q10430762,,
984,Q10427601,,
985,Q10474964,,
986,Q10476989,,
987,Q10478811,,
988,Q10474974,,
989,Q10479948,,
990,Q10478696,,
991,Q10480254,,
992,Q10534727,,
993,Q10532279,,
994,Q10532459,,
995,Q10532337,,
996,Q10542024,,
997,Q10539307,,
999,Q10533661,,
1000,Q10541738,,
1001,Q10535317,,
1002,Q10540461,,
1003,Q10534928,,
1004,Q10541276,,
1005,Q10532227,,
1006,Q10542160,,
1008,Q10542104,,
1009,Q10541979,,
1010,Q10538508,,
1011,Q10539315,,
1012,Q10532294,,
1013,Q10542128,,
1014,Q10534720,,
1015,Q10532285,,
1017,Q10534291,,
1018,Q10541809,,
1019,Q10534726,,
1020,Q10540402,,
1021,Q10542000,,
1022,Q10541813,,
1024,Q10541507,,
1025,Q10542496,,
1026,Q10542023,,
1027,Q10542120,,
1028,Q10539308,,
1029,Q10532370,,
1030,Q10540782,,
1031,Q10535396,,
1032,Q10541973,,
1033,Q10541465,,
1034,Q10541089,,
1037,Q10541746,,
1039,Q10540030,,
1041,Q10535483,,
1042,Q10541614,,
1043,Q10536852,,
1044,Q10532613,,
1045,Q10478951,,
1046,Q10480588,,
1047,Q10479890,,
1048,Q10478616,,
1050,Q10480552,,
1051,Q10480679,,
1052,Q10478016,,
1054,Q10475847,,
1055,Q10474960,,
1056,Q10476992,,
1057,Q10467913,,
1058,Q10474981,,
1059,Q10480597,,
1060,Q10480139,,
1061,Q10478698,,
1062,Q10480585,,
1063,Q10479993,,
1064,Q10478848,,
1065,Q10480560,,
1066,Q10476998,,
1067,Q10478618,,
1068,Q10480635,,
1069,Q10478841,,
1071,Q10480345,,
1073,Q10480639,,
1075,Q10480566,,
1079,Q10476408,,
1080,Q10478695,,
1082,Q10480760,,
1083,Q10477473,,
1085,Q10480549,,
1086,Q10479840,,
1087,Q10478973,,
1088,Q10474292,,
1090,Q10475838,,
1091,Q10478559,,
1092,Q10478810,,
1093,Q10478659,,
1094,Q10472195,,
1095,Q10476965,,
1096,Q10480343,,
1097,Q10475010,,
1099,Q10475301,,
1100,Q10475849,,
1101,Q10472787,,
1102,Q10480570,,
1103,Q10478556,,
1104,Q10480529,,
1105,Q10476851,,
1106,Q10479996,,
1107,Q10479857,,
1108,Q10478601,,
1109,Q10473018,,
1110,Q10474870,,
1111,Q10475361,,
1112,Q10477010,,
1114,Q10479913,,
1117,Q10474994,,
1118,Q10479979,,
1120,Q10476996,,
1121,Q10480592,,
1122,Q10476427,,
1123,Q10479893,,
1124,Q10480495,,
1125,Q10479860,,
1127,Q10470173,,
1128,Q10475011,,
1129,Q10480654,,
1130,Q10476991,,
1131,Q10476995,,
1132,Q10466606,,
1133,Q10445174,,
1134,Q10466295,,
1135,Q10444888,,
1136,Q10438648,,
1137,Q10457483,,
1138,Q10467236,,
1139,Q10438778,,
1140,Q10438798,,
1141,Q10438330,,
1142,Q10457247,,
1143,Q10467680,,
1144,Q10441278,,
1147,Q10466198,,
1148,Q10448559,,
1149,Q10463493,,
1150,Q10438796,,
1152,Q10443184,,
1153,Q10445170,,
1154,Q10448564,,
1155,Q10466205,,
1156,Q10444906,,
1157,Q10438784,,
1158,Q10448557,,
1159,Q10466438,,
1160,Q10467697,,
1161,Q10466197,,
1162,Q10460557,,
1164,Q10438387,,
1165,Q10441284,,
1166,Q10438597,,
1167,Q10438723,,
1169,Q10448612,,
1170,Q10443216,,
1172,Q10466505,,
1173,Q10438502,,
1175,Q10443106,,
1177,Q10462080,,
1178,Q10453246,,
1179,Q10438373,,
1180,Q10451573,,
1181,Q10457719,,
1182,Q10466495,,
1183,Q10458811,,
1184,Q10444918,,
1187,Q10438590,,
1188,Q10438712,,
1189,Q10438402,,
1190,Q10454981,,
1192,Q10444917,,
1193,Q10438754,,
1194,Q10466273,,
1195,Q10439349,,
1196,Q10438904,,
1198,Q10438363,,
1199,Q10466229,,
1200,Q10467237,,
1201,Q10438601,,
1202,Q10448217,,
1203,Q10438745,,
