,k,kLabel,ref
105,https://sweopendata.wikibase.cloud/entity/Q385,Kristianstads kommuns anslagstavla,https://www.kristianstad.se/sv/kommun-och-politik/overklaga-beslut-rattssakerhet/anslagstavla/
106,https://sweopendata.wikibase.cloud/entity/Q361,Kristinehamns kommuns anslagstavla,https://www.kristinehamn.se/kommun-och-politik/anslagstavla/
107,https://sweopendata.wikibase.cloud/entity/Q348,Krokoms kommun anslagstavla,https://anslagstavlan.krokom.se
108,https://sweopendata.wikibase.cloud/entity/Q553,Kumla kommuns digitala anslagstavla,https://www.kumla.se/kommun-och-politik/kommunal-anslagstavla.html
109,https://sweopendata.wikibase.cloud/entity/Q383,Kungsbacka kommuns anslagstavla,https://ciceronanslagstavla.kungsbacka.se/#!/billboard/
110,https://sweopendata.wikibase.cloud/entity/Q312,Kungsörs kommuns officiella anslagstavla,https://kungsor.se/kommun-och-politik/anslagstavla.html
111,https://sweopendata.wikibase.cloud/entity/Q351,Kungälvs kommuns anslagstavla,https://www.kungalv.se/kommun--politik/officiell-anslagstavla/
112,https://sweopendata.wikibase.cloud/entity/Q316,Köpings kommuns officiella anslagstavla,https://koping.se/anslagstavla/anslagstavla.html
113,https://sweopendata.wikibase.cloud/entity/Q397,Laholms kommuns anslagstavla,https://www.laholm.se/politik-paverkan/kallelser-och-protokoll/anslagstavla/
114,https://sweopendata.wikibase.cloud/entity/Q434,Landskrona stads digitala anslagstavla,https://www.landskrona.se/en/kommun-politik/kommun/digital-anslagstavla/
115,https://sweopendata.wikibase.cloud/entity/Q562,Laxå kommuns anslagstavla,https://www.laxa.se/Kommun-och-politik/Demokrati-och-insyn/Kommunal-anslagstavla.html
116,https://sweopendata.wikibase.cloud/entity/Q563,Lekebergs kommuns anslagstavla,https://lekeberg.se/kommunochpolitik/beslutinsynochrattssakerhet/anslagstavlaofficiell.4.711bc06b14820d116bc1a0e.html
117,https://sweopendata.wikibase.cloud/entity/Q367,Leksands kommuns anslagstavla,https://www.leksand.se/medborgare/kommun-och-politik/rattssakerhet-overklaga/anslagstavla-officiell/
118,https://sweopendata.wikibase.cloud/entity/Q293,Lerums kommuns digitala anslagstavla,https://lerum.se/kommun-och-politik/digital-anslagstavla
119,https://sweopendata.wikibase.cloud/entity/Q251,Lessebo kommuns Anslagstavla,https://www.lessebo.se/sidor/kommun-och-politik/overklaga-beslut-rattsakerhet/anslagstavla-officiell.html
120,https://sweopendata.wikibase.cloud/entity/Q324,Lidingö stads anslagstavla,https://www.lidingo.se/toppmeny/ovrigasidor/stadensanslagstavla.4.7a7e170815fc29ac5e455a5.html
121,https://sweopendata.wikibase.cloud/entity/Q544,Lidköpings kommuns anslagstavla,https://www.intranat.lidkoping.se/4.710aadbd15fcaa56a5ba540b.html
122,https://sweopendata.wikibase.cloud/entity/Q359,Lillaedets kommuns anslagstavla,https://www.lillaedet.se/kommun-och-politik/moten-handlingar-och-protokoll/anslagstavla
123,https://sweopendata.wikibase.cloud/entity/Q520,Lindesberg kommuns digitala anslagstavla,https://www.lindesberg.se/kommun-och-politik/overklaga-beslut-rattssakerhet/anslagstavlor/anslagstavla
124,https://sweopendata.wikibase.cloud/entity/Q381,Linköpings kommuns anslagstavla,https://www.linkoping.se/anslagstavla
125,https://sweopendata.wikibase.cloud/entity/Q537,Ljungby kommuns anslagstavla,https://www.ljungby.se/sv/politik-och-demokrati/anslagstavla_ny/
126,https://sweopendata.wikibase.cloud/entity/Q508,Ljusdals kommuns digitala anslagstavla,https://www.ljusdal.se/kommunpolitik/anslagstavla.4.2d4b5de215f52277598c125.html
127,https://sweopendata.wikibase.cloud/entity/Q518,Ljusnarsbergs kommun anslagstavla,https://www.ljusnarsberg.se/digitalanslagstavla/anslagstavlan.4.6e8e0e05162b3d64d94836cf.html
128,https://sweopendata.wikibase.cloud/entity/Q401,Lomma kommuns anslagstavla,https://lomma.se/kommun-och-politik/overklaga-beslut-rattssakerhet/anslagstavla.html
129,https://sweopendata.wikibase.cloud/entity/Q517,Ludvika kommuns officiella anslagstavla,https://www.ludvika.se/anslagstavla/anslagstavla?bvQuery=Anslagstavla
130,https://sweopendata.wikibase.cloud/entity/Q490,Luleå kommuns anslagstavla,https://www.lulea.se/kommun--politik/insyn-och-rattssakerhet/anslagstavla.html
131,https://sweopendata.wikibase.cloud/entity/Q308,Lunds kommuns anslagstavla,https://lund.se/kommun-och-politik/anslagstavla
132,https://sweopendata.wikibase.cloud/entity/Q493,Lycksele kommuns digitala anslagstavla,https://www.lycksele.se/kommun/kommun-och-politik/anslagstavla/
133,https://sweopendata.wikibase.cloud/entity/Q555,Lysekils kommuns officiella anslagstavla,https://www.lysekil.se/organisation-plats-och-politik/overklaga-beslut-rattssakerhet/kommunal-anslagstavla.html
134,https://sweopendata.wikibase.cloud/entity/Q431,Malmö stads digitala anslagstavla,https://malmo.se/Om-Malmo-stad/Politik-beslut-och-paverkan/Anslagstavla.html
135,https://sweopendata.wikibase.cloud/entity/Q282,Malung Sälen digitala anslagstavla,https://malung-salen.se/kommun-och-politik/kommunal-anslagstavla
136,https://sweopendata.wikibase.cloud/entity/Q299,Malå kommuns digitala anslagstavla,https://www.mala.se/anslagstavla
137,https://sweopendata.wikibase.cloud/entity/Q402,Mariestad kommuns digitala anslagstavla,https://mariestad.se/Mariestads-kommun/Kommun--politik/Politik-och-delaktighet/Digital-anslagstavla
138,https://sweopendata.wikibase.cloud/entity/Q536,Markaryds kommuns digitala anslagstavla,https://www.markaryd.se/arkiv/nyheter/2018-01-08-digital-anslagstavla.html
139,https://sweopendata.wikibase.cloud/entity/Q376,Marks kommuns anslagstavla,https://www.mark.se/politik-och-organisation/anslagstavla/
140,https://sweopendata.wikibase.cloud/entity/Q564,Melleruds kommuns anslagstavla,https://www.mellerud.se/kommun-och-politik/anslagstavla/
141,https://sweopendata.wikibase.cloud/entity/Q527,Mjölby kommuns anslagstavla,https://www.mjolby.se/31082.html
142,https://sweopendata.wikibase.cloud/entity/Q513,Mora kommuns officiella anslagstavla,https://morakommun.se/arkiv/digital-anslagstavla.html
